,Car Name,Auction Rating,Model Year,Mileage,Fuel Type,Engine Capacity,Transmission,Engine Unit,Price (PKR)
71,BMW 5 Series  2016  for Sale,,2016,56000,Diesel,2000.0,Automatic,cc,15000000.0
72,BMW 7 Series 4th (E65) Generation 2003 730i for Sale,,2003,110000,Petrol,3000.0,Automatic,cc,5000000.0
73,BMW X5  2005 4.4i for Sale,,2005,138000,Petrol,4400.0,Automatic,cc,5800000.0
74,BMW i4  2022 eDrive40 for Sale,,2022,26000,Electric,84.0,Automatic,kWh,20800000.0
75,BMW 7 Series  2017 740 Le xDrive for Sale,,2017,45000,Hybrid,2000.0,Automatic,cc,
76,BMW 3 Series  1997 318i for Sale,,1997,90000,Petrol,1800.0,Automatic,cc,2100000.0
77,BMW 5 Series 5th (E60) Generation 2006 530i for Sale,,2006,144000,Petrol,3000.0,Automatic,cc,3990000.0
78,BMW 5 Series 5th (E60) Generation 2006 530i for Sale,,2006,140000,Petrol,3000.0,Automatic,cc,4300000.0
79,BMW X1  2017 sDrive18i A/T for Sale,,2017,62000,Petrol,1500.0,Automatic,cc,6250000.0
80,BMW 5 Series 6th (F10) Generation 2012 ActiveHybrid 5 for Sale,,2012,75000,Hybrid,3000.0,Automatic,cc,10500000.0
81,BMW 7 Series 4th (E65) Generation 2007 730d for Sale,,2007,125000,Diesel,3000.0,Automatic,cc,6500000.0
82,BMW 7 Series 5th (F01) Generation 2015 730Li for Sale,,2015,47000,Petrol,3000.0,Automatic,cc,23500000.0
83,BMW i4  2022 eDrive40 for Sale,9.8,2022,29326,Electric,84.0,Automatic,kWh,21500000.0
84,BMW i4  2022 eDrive40 for Sale,,2022,12300,Electric,84.0,Automatic,kWh,26200000.0
85,BMW i5  2023 eDrive40 M Sport for Sale,,2023,9540,Electric,81.2,Automatic,kWh,27700000.0
86,BMW iX  2023 xDrive40 for Sale,,2023,15000,Electric,710.0,Automatic,kWh,
87,BMW i4  2022 eDrive40 for Sale,,2022,18000,Electric,84.0,Automatic,kWh,
88,BMW X1  2017 sDrive18i A/T for Sale,,2017,150000,Petrol,1500.0,Automatic,cc,6375000.0
89,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,3400,Electric,1057.0,Automatic,kWh,62500000.0
90,BMW 5 Series  2016  for Sale,,2016,56000,Diesel,2000.0,Automatic,cc,15000000.0
91,BMW X5  2005 4.4i for Sale,,2005,138000,Petrol,4400.0,Automatic,cc,5800000.0
92,BMW i4  2022 eDrive40 for Sale,,2022,26000,Electric,84.0,Automatic,kWh,20800000.0
93,BMW 7 Series  2017 740 Le xDrive for Sale,,2017,45000,Hybrid,2000.0,Automatic,cc,
94,BMW 5 Series 5th (E60) Generation 2006 530i for Sale,,2006,144000,Petrol,3000.0,Automatic,cc,3990000.0
95,BMW 5 Series 6th (F10) Generation 2012 ActiveHybrid 5 for Sale,,2012,75000,Hybrid,3000.0,Automatic,cc,10500000.0
96,BMW 7 Series 4th (E65) Generation 2007 730d for Sale,,2007,125000,Diesel,3000.0,Automatic,cc,6500000.0
97,BMW i4  2022 eDrive40 for Sale,,2022,12300,Electric,84.0,Automatic,kWh,26200000.0
98,BMW i5  2023 eDrive40 M Sport for Sale,,2023,9540,Electric,81.2,Automatic,kWh,27700000.0
99,BMW iX  2023 xDrive40 for Sale,,2023,15000,Electric,710.0,Automatic,kWh,
100,BMW i8  2018 Roadster for Sale,,2018,16000,Hybrid,1500.0,Automatic,cc,
101,BMW iX3  2022 M Sport for Sale,,2022,23000,Electric,738.0,Automatic,kWh,
102,BMW iX  2022 xDrive40 for Sale,,2022,35000,Electric,71.0,Automatic,kWh,25900000.0
103,BMW 7 Series  2021 745Le xDrive for Sale,,2021,80000,Hybrid,3000.0,Automatic,cc,67500000.0
104,BMW X5  2013 xDrive50i for Sale,,2013,100000,Petrol,4400.0,Automatic,cc,
105,BMW i5  2024 eDrive40 M Sport for Sale,,2024,15000,Electric,81.0,Automatic,kWh,
106,BMW i5  2023 eDrive40 M Sport for Sale,,2023,12000,Electric,81.0,Automatic,kWh,32000000.0
107,BMW 7 Series 4th (E65) Generation 2003 735i for Sale,,2003,87000,Petrol,3600.0,Automatic,cc,3200000.0
108,BMW 7 Series  2004 735i for Sale,,2004,78000,Petrol,3600.0,Automatic,cc,4500000.0
109,BMW i5  2023 M60 xDrive for Sale,,2023,11000,Electric,81.0,Automatic,kWh,45500000.0
110,BMW X5  2006 4.4i for Sale,,2006,117000,Petrol,4400.0,Automatic,cc,5000000.0
111,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,5000,Electric,105.0,Automatic,kWh,56000000.0
112,BMW X5  2001 3.0i for Sale,,2001,600000,Petrol,3000.0,Automatic,cc,3400000.0
113,BMW 7 Series 4th (E65) Generation 2004 735i for Sale,7.4,2004,208325,Petrol,3600.0,Automatic,cc,4800000.0
114,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,5500,Electric,1057.0,Automatic,kWh,60000000.0
115,BMW 5 Series 5th (E60) Generation 2004 530d for Sale,,2004,240000,Diesel,3000.0,Automatic,cc,3600000.0
116,BMW 5 Series 5th (E60) Generation 2006 530i for Sale,,2006,117000,Petrol,3000.0,Automatic,cc,4100000.0
117,BMW 7 Series  2023 i7 xDrive60 M Pro Package for Sale,,2023,25000,Electric,102.0,Automatic,kWh,62500000.0
118,BMW 7 Series 4th (E65) Generation 2003 730i for Sale,,2003,93760,Petrol,3000.0,Automatic,cc,3450000.0
119,BMW 3 Series 5th (E90) Generation 2005 318i for Sale,,2005,122000,Petrol,2000.0,Automatic,cc,5500000.0
120,BMW 3 Series 5th (E90) Generation 2006 320i for Sale,,2006,198000,Petrol,2000.0,Automatic,cc,3550000.0
121,BMW X5  2007 xDrive30d for Sale,,2007,192000,Diesel,3000.0,Automatic,cc,5500000.0
122,BMW iX3  2022 M Sport for Sale,,2022,27000,Electric,73.0,Automatic,kWh,
123,BMW X1  2017 sDrive18i A/T for Sale,,2017,50000,Petrol,1500.0,Automatic,cc,7600000.0
124,BMW 5 Series 5th (E60) Generation 2005 523i for Sale,,2005,200000,Petrol,2500.0,Automatic,cc,4000000.0
125,BMW i8  2018 Roadster for Sale,,2018,16000,Hybrid,1500.0,Automatic,cc,
126,BMW iX3  2022 M Sport for Sale,,2022,23000,Electric,738.0,Automatic,kWh,
127,BMW 7 Series  2021 745Le xDrive for Sale,,2021,80000,Hybrid,3000.0,Automatic,cc,67500000.0
128,BMW X5  2013 xDrive50i for Sale,,2013,100000,Petrol,4400.0,Automatic,cc,
129,BMW i5  2024 eDrive40 M Sport for Sale,,2024,15000,Electric,81.0,Automatic,kWh,
130,BMW i5  2023 eDrive40 M Sport for Sale,,2023,12000,Electric,81.0,Automatic,kWh,32000000.0
131,BMW 7 Series  2004 735i for Sale,,2004,78000,Petrol,3600.0,Automatic,cc,4500000.0
132,BMW 7 Series 4th (E65) Generation 2004 735i for Sale,7.4,2004,208325,Petrol,3600.0,Automatic,cc,4800000.0
133,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,5500,Electric,1057.0,Automatic,kWh,60000000.0
134,BMW 7 Series  2023 i7 xDrive60 M Pro Package for Sale,,2023,25000,Electric,102.0,Automatic,kWh,62500000.0
135,BMW X5  2007 xDrive30d for Sale,,2007,192000,Diesel,3000.0,Automatic,cc,5500000.0
136,BMW iX3  2022 M Sport for Sale,,2022,27000,Electric,73.0,Automatic,kWh,
137,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,8000,Electric,105.0,Automatic,kWh,
138,BMW 5 Series 5th (E60) Generation 2006 530i for Sale,,2006,170000,Petrol,3000.0,Automatic,cc,4200000.0
139,BMW 3 Series  1992  for Sale,,1992,155000,Petrol,2500.0,Manual,cc,2000000.0
140,BMW 3 Series  2015 316i for Sale,,2015,59000,Petrol,1600.0,Automatic,cc,8375000.0
141,BMW i5  2024 eDrive40 M Sport for Sale,,2024,19000,Electric,81.0,Automatic,kWh,32400000.000000004
142,BMW 5 Series 5th (E60) Generation 2010 550i for Sale,,2010,145000,Petrol,4800.0,Automatic,cc,9000000.0
143,BMW 5 Series 5th (E60) Generation 2006 530i for Sale,,2006,200000,Petrol,3000.0,Automatic,cc,4200000.0
144,BMW iX  2022 xDrive40 for Sale,,2022,5000,Electric,71.0,Automatic,kWh,26500000.0
145,BMW 2 Series  2022 218i Gran Coupe for Sale,,2022,12000,Petrol,1500.0,Automatic,cc,
146,BMW 7 Series  2025 i7 xDrive50 M Sport for Sale,,2025,300,Electric,101.0,Automatic,kWh,67500000.0
147,BMW iX  2022 xDrive40 for Sale,,2022,5000,Electric,71.0,Automatic,kWh,26500000.0
148,BMW X1  2017 sDrive18i M/T for Sale,,2017,112000,Petrol,1500.0,Manual,cc,7500000.0
149,BMW X5  2010  for Sale,,2010,100000,Petrol,2500.0,Automatic,cc,9000000.0
150,BMW 3 Series  2014 316i for Sale,,2014,68000,Petrol,1600.0,Automatic,cc,8150000.0
151,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,6000,Electric,105.0,Automatic,kWh,
152,BMW X5  2003 3.0i for Sale,,2003,96000,Petrol,3000.0,Automatic,cc,3100000.0
153,BMW 7 Series  2024 i7 xDrive60 M Sports for Sale,,2024,8700,Electric,105.0,Automatic,kWh,69900000.0
154,BMW iX  2021 xDrive50 for Sale,,2021,32000,Electric,111.0,Automatic,kWh,25500000.0
155,BMW i4  2022 eDrive40 for Sale,,2022,25000,Electric,84.0,Automatic,kWh,18800000.0
156,BMW 5 Series 5th (E60) Generation 2009 525i for Sale,,2009,95000,Petrol,2500.0,Automatic,cc,4950000.0
157,BMW 5 Series 5th (E60) Generation 2005 530i for Sale,,2005,200000,Petrol,3000.0,Automatic,cc,3400000.0
158,BMW X1  2017 sDrive18i A/T for Sale,,2017,48000,Petrol,1500.0,Automatic,cc,
159,BMW 7 Series  2016 740 Le xDrive for Sale,,2016,120000,PHEV,2000.0,Automatic,cc,35000000.0
160,BMW iX  2022 xDrive40 for Sale,9.6,2022,13096,Electric,71.0,Automatic,kWh,29000000.0
161,BMW i4  2025 eDrive35 for Sale,,2025,1700,Electric,67.0,Automatic,kWh,30000000.0
162,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,8000,Electric,105.0,Automatic,kWh,
163,BMW 5 Series 5th (E60) Generation 2010 550i for Sale,,2010,145000,Petrol,4800.0,Automatic,cc,9000000.0
164,BMW iX  2022 xDrive40 for Sale,,2022,5000,Electric,71.0,Automatic,kWh,26500000.0
165,BMW 2 Series  2022 218i Gran Coupe for Sale,,2022,12000,Petrol,1500.0,Automatic,cc,
166,BMW iX  2022 xDrive40 for Sale,,2022,5000,Electric,71.0,Automatic,kWh,26500000.0
167,BMW X1  2017 sDrive18i M/T for Sale,,2017,112000,Petrol,1500.0,Manual,cc,7500000.0
168,BMW 3 Series  2014 316i for Sale,,2014,68000,Petrol,1600.0,Automatic,cc,8150000.0
169,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,6000,Electric,105.0,Automatic,kWh,
170,BMW 7 Series  2024 i7 xDrive60 M Sports for Sale,,2024,8700,Electric,105.0,Automatic,kWh,69900000.0
171,BMW X1  2017 sDrive18i A/T for Sale,,2017,48000,Petrol,1500.0,Automatic,cc,
172,BMW 7 Series  2016 740 Le xDrive for Sale,,2016,120000,PHEV,2000.0,Automatic,cc,35000000.0
173,BMW iX  2022 xDrive40 for Sale,9.6,2022,13096,Electric,71.0,Automatic,kWh,29000000.0
174,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,24000,Electric,1050.0,Automatic,kWh,
175,BMW 7 Series 4th (E65) Generation 2003 730d for Sale,,2003,250000,Diesel,3000.0,Automatic,cc,3150000.0
176,BMW 5 Series 5th (E60) Generation 2008 550i for Sale,,2008,160000,Petrol,4800.0,Automatic,cc,5500000.0
177,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,20000,Electric,105.0,Automatic,kWh,
178,BMW 3 Series  2015 316i for Sale,,2015,154000,Petrol,1600.0,Automatic,cc,7500000.0
179,BMW X5  2004 4.4i for Sale,,2004,151000,Petrol,4400.0,Automatic,cc,3800000.0
180,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,30000,Electric,105.0,Automatic,kWh,59900000.0
181,BMW 5 Series 5th (E60) Generation 2007 525d for Sale,,2007,250000,Diesel,2500.0,Manual,cc,3800000.0
182,BMW X3  2009  for Sale,,2009,137000,Petrol,2500.0,Automatic,cc,4675000.0
183,BMW 7 Series  2025 i7 eDrive50 for Sale,,2025,26900,Electric,101.0,Automatic,kWh,64000000.0
184,BMW 7 Series  2022 i7 xDrive60 M Sports for Sale,,2022,18000,Electric,105.0,Automatic,kWh,
185,BMW 7 Series  2023 i7 xDrive60 Excellence for Sale,,2023,12500,Electric,105.0,Automatic,kWh,
186,BMW i5  2023 eDrive40 M Sport for Sale,,2023,24000,Electric,81.0,Automatic,kWh,
187,BMW i5  2023 eDrive40 M Sport for Sale,,2023,11000,Electric,81.0,Automatic,kWh,
188,BMW 5 Series 5th (E60) Generation 2005 550i for Sale,,2005,120000,Petrol,4800.0,Automatic,cc,6000000.0
189,BMW 3 Series 4th (E46) Generation 2006 320i for Sale,,2006,160000,Petrol,2000.0,Automatic,cc,3600000.0
190,BMW 3 Series  1993  for Sale,,1993,130000,Petrol,2500.0,Manual,cc,2950000.0
191,BMW i4  2023 eDrive40 for Sale,,2023,32000,Electric,84.0,Automatic,kWh,25000000.0
192,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,7000,Electric,105.0,Automatic,kWh,
193,BMW 5 Series 6th (F10) Generation 2015 ActiveHybrid 5 for Sale,,2015,94000,Hybrid,3000.0,Automatic,cc,12500000.0
194,BMW 5 Series 5th (E60) Generation 2010 523i for Sale,,2010,4500,Petrol,2500.0,Automatic,cc,8000000.0
195,BMW i4  2025 eDrive35 for Sale,,2025,6800,Electric,670.0,Automatic,kWh,22799999.999999996
196,BMW 3 Series  1997  for Sale,,1997,141000,Petrol,3000.0,Automatic,cc,3000000.0
197,BMW 5 Series 5th (E60) Generation 2005 530i for Sale,,2005,167000,Petrol,3000.0,Automatic,cc,4500000.0
198,BMW 5 Series 5th (E60) Generation 2007 525d for Sale,,2007,150000,Diesel,2500.0,Automatic,cc,3600000.0
199,BMW i4  2025 eDrive35 for Sale,,2025,1700,Electric,67.0,Automatic,kWh,30000000.0
200,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,24000,Electric,1050.0,Automatic,kWh,
201,BMW 5 Series 5th (E60) Generation 2008 550i for Sale,,2008,160000,Petrol,4800.0,Automatic,cc,5500000.0
202,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,20000,Electric,105.0,Automatic,kWh,
203,BMW 3 Series  2015 316i for Sale,,2015,154000,Petrol,1600.0,Automatic,cc,7500000.0
204,BMW X5  2004 4.4i for Sale,,2004,151000,Petrol,4400.0,Automatic,cc,3800000.0
205,BMW 7 Series  2022 i7 xDrive60 Excellence for Sale,,2022,30000,Electric,105.0,Automatic,kWh,59900000.0
206,BMW 5 Series 5th (E60) Generation 2005 550i for Sale,,2005,120000,Petrol,4800.0,Automatic,cc,6000000.0
207,BMW i8  2015 Coupe for Sale,,2015,33400,Hybrid,1500.0,Automatic,cc,26000000.0
208,BMW X1  2017 sDrive18i A/T for Sale,,2017,10000,Petrol,1500.0,Automatic,cc,9500000.0
209,BMW i4  2023 eDrive35 for Sale,,2023,6000,Electric,67.0,Automatic,kWh,18500000.0
210,BMW 7 Series 5th (F01) Generation 2013 750Li for Sale,,2013,150000,Petrol,4400.0,Automatic,cc,13500000.0
211,BMW 7 Series 4th (E65) Generation 2002 745Li for Sale,,2002,130000,Petrol,4400.0,Automatic,cc,6500000.0
212,BMW X5  2005 4.4i for Sale,,2005,138000,Petrol,4400.0,Automatic,cc,6500000.0
213,BMW 6 Series  2005  for Sale,,2005,115000,Petrol,4500.0,Automatic,cc,7500000.0
214,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,7000,Electric,105.0,Automatic,kWh,
215,BMW X1  2017 sDrive18i A/T for Sale,,2017,80000,Petrol,1500.0,Automatic,cc,8350000.0
216,BMW 5 Series 5th (E60) Generation 2007 525d for Sale,,2007,200000,Diesel,2500.0,Automatic,cc,3750000.0
217,BMW i5  2024 eDrive40 M Sport for Sale,,2024,19000,Electric,81.2,Automatic,kWh,32900000.0
218,BMW X1  2017 sDrive18i A/T for Sale,,2017,115000,Petrol,1500.0,Automatic,cc,7500000.0
219,BMW i4  2023 eDrive40 for Sale,,2023,35500,Electric,84.0,Automatic,kWh,20800000.0
220,BMW M Series  2006  for Sale,,2006,68000,Petrol,5000.0,Automatic,cc,11500000.0
221,BMW 7 Series 4th (E65) Generation 2008 730Li for Sale,,2008,102000,Petrol,3000.0,Automatic,cc,4700000.0
222,BMW 3 Series 4th (E46) Generation 2001 318i for Sale,,2001,200000,Petrol,2000.0,Automatic,cc,2450000.0
223,BMW 5 Series 5th (E60) Generation 2012 520d for Sale,8.9,2012,140000,Diesel,2000.0,Automatic,cc,11700000.0
224,BMW 7 Series 4th (E65) Generation 2002 735i for Sale,,2002,135000,Petrol,3600.0,Automatic,cc,3300000.0
225,BMW X1  2018 sDrive18i A/T for Sale,,2018,65000,Petrol,1500.0,Automatic,cc,7200000.0
226,BMW 3 Series 4th (E46) Generation 2017 318i for Sale,,2017,86000,Petrol,2000.0,Automatic,cc,11500000.0
227,BMW 7 Series 4th (E65) Generation 2007 730i for Sale,,2007,70850,Petrol,3000.0,Automatic,cc,4200000.0
228,BMW 5 Series 5th (E60) Generation 2006 530i for Sale,,2006,140000,Petrol,3000.0,Automatic,cc,3800000.0
229,BMW iX3  2021 M Sport for Sale,,2021,18900,Electric,1500.0,Automatic,kWh,16800000.0
230,BMW 7 Series  2016 750 Li for Sale,,2016,69000,Petrol,4400.0,Automatic,cc,37500000.0
231,BMW 7 Series  2023 i7 xDrive60 Excellence for Sale,,2023,8000,Electric,1050.0,Automatic,kWh,
232,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,7000,Electric,105.0,Automatic,kWh,
233,BMW X1  2017 sDrive18i A/T for Sale,,2017,80000,Petrol,1500.0,Automatic,cc,8350000.0
234,BMW i5  2024 eDrive40 M Sport for Sale,,2024,19000,Electric,81.2,Automatic,kWh,32900000.0
235,BMW M Series  2006  for Sale,,2006,68000,Petrol,5000.0,Automatic,cc,11500000.0
236,BMW 5 Series 5th (E60) Generation 2012 520d for Sale,8.9,2012,140000,Diesel,2000.0,Automatic,cc,11700000.0
237,BMW X1  2018 sDrive18i A/T for Sale,,2018,65000,Petrol,1500.0,Automatic,cc,7200000.0
238,BMW 3 Series 4th (E46) Generation 2017 318i for Sale,,2017,86000,Petrol,2000.0,Automatic,cc,11500000.0
239,BMW 7 Series  2016 750 Li for Sale,,2016,69000,Petrol,4400.0,Automatic,cc,37500000.0
240,BMW 7 Series  2023 i7 xDrive60 Excellence for Sale,,2023,8000,Electric,1050.0,Automatic,kWh,
241,BMW 7 Series  2023 i7 xDrive60 M Sports for Sale,,2023,5000,Electric,105.0,Automatic,kWh,65000000.0
242,BMW iX  2022 xDrive40 for Sale,,2022,12000,Electric,71.0,Automatic,kWh,
243,BMW X7  2022 xDrive40i for Sale,,2022,60000,Petrol,3000.0,Automatic,cc,64000000.0
244,BMW 5 Series  2014 528i for Sale,,2014,67000,Petrol,2000.0,Automatic,cc,
